id,label,text
24,0,deutschland ist verloren. dank an die scheiss antifa sie haben es geschafft einen ehrlichen aufrechten menschen zu verjagen. dann soll deutschland untergehen. und das mit pauken und trompeten
25,1,"auch das Saarland wird von Idioten regiert !, mehr muß ich nicht Schreiben"
26,0,"Auch der Schlächter von Uganda Iddie Ammin würde im linksgrünen Multikulti Buntland GerMoney Asyl erhalte,da er für seine Massenmorde in Uganda mit strenger Bestrafung rechnen müsste ! Auch Osama bin Laden Terroristenboss und Massenmörder der Al Qaeda ( hätten die Amis ihn nicht unschädlich gemacht ) würde in Bochum neben seinem einstigen Leibwächter,Gefährder und Hassprediger einen fau"
27,0,"Ich halte die Grünen für psychisch auffällige Hysteriker und einige für Menschen mit einer den Kopf weit überflügelnden, überbordenden Emotionalität. Wer ein bisschen was studiert hat, ohne Examen, sich als Fachmann/-frau für alles ausgibt und groß tönt, ist nur lächerlich! Einige sind sicher unglaubliche Selbstdarsteller"
28,0,"Die BRD hat entsprechend keine eigene Staatsangehörigkeit. Sie ist inzwischen sogar zur Firma umgeformt worden, alle BRD-\""Bürger\"" sind das rechtlose Personal"
29,0,Die regierenden Politiker sind alle falsche Fuffziger...
30,0,"Saarland: Maas,AKK und jetzt diese Blitzbirne. kein Kommentar!"
31,1,Ständiges meckern über eine unfähige Bundesregierung bringt ja keinem steuerzahlenden Bürger weiter. Beim nächsten Gang zur Wahlurne einfach den Kopf einschalten und sich den ganzen Mist nochmal durch den Kopf gehen lassen
32,1,Wie lange schauen unsere Politiker noch unserem Untergang zu?
33,0,"Das, was Linke und Grüne hier veranstalten, ist ein Konjunkturprogramm für alle rechten Populisten und Extremisten.\xa0 Sehen sie das nicht oder ist das gewolltes Handeln?"
34,0,"Primitive gehen dahin, wo am meisten Geld gezahlt wird und ein sorgenfreies Leben versprochen wird!"
35,1,"Wenn die Musels in das gewünschte Dienstalter kommen, sind sie bereits seit fast zwei Jahrzehnten Mitglieder der Parallelgesellschaft, die der Herr Parteigänger bekämpfen will. Da gibt es dann wohl nichts mehr zu korrigieren."
36,1,Die meisten jungen Männer von heute sind zu weichgespülten pastellfarbenen Polo-Shirt Träger mutiert. Viele von denen schaffen es nicht ohne Smartphone im Netto ein Stück Butter zu finden
37,0,"Manche Gäste kennen nicht die anderen kulturellen Regeln, manche setzen sich rüpelhaft darüber hinweg, wie am Strand oft einige Briten und Russen"
38,0,"Was macht die Frau in Deutschland? Sich vor der Wehrpflicht zu drücken, begründet kein Asyl. Und Migranten kennt unser Asylrecht nicht. Also, was macht die Frau hier?"
39,0,"Kaum ist die Alte wieder aus dem Urlaub zurück, macht sie weiter wie zuvor!   Sie schadet Deutschland.."
40,0,"Genau das tun weder die Gutmenschen, noch die Migranten.[b] Beide maximieren ihren eigenen Vorteil zu Lasten der europäischen Bevölkerung."
41,0,"Einfach ekelhaft, wie diese elenden Linksfaschistengutmenschinnen diese Tat runter spielen und immer argumentieren „…aber räschts ist shice“."
42,0,"Und der nächste aus dem Saarland in der Freak-Show der obskuren Auftritte !   Wird ein wenig viel in letzter Zeit, nich ?  Dieses Ländle erscheint doch recht merkwürdig ! Erich der Dachdecker, das M.-Männchen, AKK-der Zwilling von Frau Merkel, jetzt noch dieser Märchenonkel.   Dagegen ist ja die Augsburger Puppenkiste als höchst seriös zu bezeichnen ! Oder Pittiplatsch mit seinem Gequatsche"
43,1,"Einzig eine konsequente Ausweisung dieser Straftäter, in diesem Fall zuerst die Aberkennung der deutschen Staatsbürgerschaft, wie ist er überhaupt an die gekommen? Schon allein das bedürfte einer Untersuchung. Nur diese Maßnahme kann halbwegs weiter öffentliche Übergriffe verhindern"
44,0,"""Freiheit des Individuums, welche im Islam gebrochen wird"" (Min 59-60) und das passt hervorragend zur deutschen Politik der letzten 20 Jahren - zur wachsenden Allzuständigkeit des Politischen Staates und seiner Regelung (17 Führerscheine, Händewaschzertifikate, Zwangsversicherungen, Bankregulierung beliebig erweiterbar...). Oder wie CDU AKK es sagte, ""wir werden die Normierung nicht zurückdreh"
45,1,"Was ich aber 100% sagen kann, zu DDR Zeiten wäre die Polizei nach 5 Minuten ran gewesen im 1200 er Lada und die Allahu akbar Proleten hätten 10 Jahre Arbeitslager erhalten im Steinbruch. Das wirkt wahre Wunder, Umerziehung durch harte körperliche Arbeit, das war schon vor 1000 Jahre die beste Medizin und ist es heute auch noch !"
46,1,"Merkels Suren-Söhne wollen Bürgerkrieg wie in Chemnitz. Dort, wo es Koran und Islam(ismus) gibt, lauern nun mal Mord und Totschlag. Auch der von Merkels-Moslem-Messer-Mördern erstochene Deutsche ist ein weiterer Toter, den Merkel mit ihrer kriminellen 2015er-Moslem-Invasion auf dem Gewissen hat. Hier werden reihenweise Deutsche erstochen und ermordert von Merkels Moslems und keine sagt etwas. S"
47,0,"Wie jeder weiß das er zum Großteil richtig liegt mit seinen Thesen, aber jeder die Rassismuskeule auspackt, weil hier ein linkes Meinungsklima herrscht, es darf nicht sein, was nicht ins Weltbild passt"
48,1,"Und das betrifft nicht nur die Enwanderung durch exotische Muslime, sondern auch die Energiewende, Verteuerung von Strom, Euroeinführung, Nullzinspolitik und Enteignung der Sparer, aber auch Verteufelung des Diesel, was den Fahrzeugwert vieler Fahrzeuge senkt, um nur ein paar Beispiele zu nennen. Hier wird nur noch nach unten getreten, und wenn sie so wollen, Mörder durch Justiz und Medien gesch"
49,0,"Es kann doch nicht sein das einer aus dem knast heraus, Deutschland bedroht und die wollen ihn wiederholen."
50,1,"Der Wandel von Bild ist doch nur gespielt. um die konservativen Wähler, die jetzt AfD wählen, einzufangen und als Stimmvieh wieder den Altparteien zuzuführen. Der gleiche durchsichtige (und dümmliche) Trick den Seehofer mit seiner Verfassungsklage gegen die eigene Regierung vorspielte während er seine Minister hinter verschlossenen Türen am Kabinettstisch für Merkels Bevölkerungsaustausch"
51,0,na das ist doch der Plan Umvolkung. Wir können absolut nichts mehr tun.
52,0,"Einen Grund dafür konnte man gestern abend im ersten erfahren - die EU unterstützt die afrikanischen Despoten mit Waffen und sonstigem Material bei der Grenzsicherung, die Flüchtlnge /Migranten ertrinken jetzt nicht mehr im Mittelmehr sondern sterben in den Wüsten Westafrikas."
53,0,"Nicht für alle ist das Selbstverständlichkeit, Brot und Spiele drückt uns oft in die Knie in die Knechtschaft wo uns unsere Führer gerne sehen und haben wollen."
54,0,"Doch die Merkel-Regierung schaut tatenlos zu, wie unser Land ausgeplündert wird."
55,1,"Ich kann allerdings gerade im Hinblick auf Afghanen, die sehr häufig negativ auffallen, nicht nachvollziehen, weshalb nicht zunächst die Straftäter und Gefährder abgeschoben werden."
56,0,"Ich hatte einen ""südl. aussehenden"" Mitbürger gemeldet, weil er offen von ""Öfen anheizen"" sprach."
57,0,"Die Menschen können den Zeitwert des Geldes nachweislich nicht richtig einschätzen. Und das Umlageverfahren der Sozialversicherung verstehen sie noch weniger. Damit sind wir den Taschenspielertricks von Banken, Versicherungen und Politikern hilflos ausgeliefert."
58,0,"Die ausgehöhlte CDU lässt die Maske fallen und zum Vorschein kommt die PDS.  Gibt es die Zustimmung der Bevölkerung durch entsprechende, legitimierende Wahlergebnisse nicht mehr her, koaliert man eben mit den „Bruderparteien“. Volk hin, Volk her. Böcke als Gärtner"
59,1,Jaleider kommt der Abschaum auch mit hierher... Sorry für die frau. Statt sie wartet das er gehn muß...
60,0,Der hat doch den A.... offen.
61,0,"Die Vorboten des Bürgerkriegs werden unübersehbar, auch wenn die Regierungsmedien ihre Filter vorschalten."
62,0,"Die Sachsen haben ein sehr gutes Rechtsempfinden darum gehen sie auch auf die Strasse und bringen das zum Ausdruck,sie lassen sich nicht verarschen wie die vom betreuten denken verwirrten ARD und ZDF Staatmedien zugedröhnten Linksgrünen Spinner in diesem Land."
63,1,Das Gericht gehört ein Disziplinarverfahren angehängt....Missbrauch der Steuergelder...
64,0,Deutsche die für Migranten demonstrieren die deutsche morden und vergewaltigen. Einfach traurig.
65,0,Was ein rassistischer Komentar?!! Du dreckiger Nazi! Sei froh dass sie eure Ärsche wäscht
66,0,"Noch habe ich die Hoffnung nicht ganz aufgegeben, daß sich der gesunde Menschenverstand gegenüber unseren linksgrün versifften, gehirngewaschenen Ideologen in Politik und Medien letztlich doch noch durchsetzen wird. Aber wird es bis dahin nicht schon zu spät sein?"
67,1,"Diese Regierung ist einziger Verrat am deutschen Volke. Aus heutiger Sicht sind politische Gestalten wie Schmidt, Strauß und Brandt wahrlich Lichtgestalten der Pflichterfüllung gegenüber ihrem Volke gewesen. Die aktuelle politische Garde erinnert an Raubritter, die im Sold des Feindes stehen. In jedem anderen Staat würde das Volk angesichts der Lasten, die ihm aufgeladen werden sollen auf die"
68,1,"Wäre der Terrorist ein Bankster, hätte er das Bedürfnis zufällig vom Hochhaus zu springen!!! Die heutigen Geheimdienste taugen offenbar zu nichts mehr!!"
69,0,"Ich halte eine Physikerin???  Merkel für einen Stasi Fake, denn die weist Lücken selbst bei den Grundlagen von Physik und Mathe auf. Ich  halte CDU Merkel für ungebildet. Logische Zusammenhänge erfasst sie  schlecht. Lügenpresse (Fake News) schreibt jedoch Merkel sei klug. Sie solle alles von hinten denken, scheibt die Presse. Quatsch, ohne Augen vorn, kann man nicht sehen."
70,1,Den Teufel wird man nur ganz schwer los.............
71,0,"Bayerisches spD-Projekt Oktober 18: wer die korrekte Prozentzahl nennt, die der Scharia-Fraktion bei der Wahl zu 10 % fehlen wird, bekommt eine Flasche Cremant d´ Alsass demi s"
72,0,"Guck mal in die Statistik. Die meisten arbeiten ""später"" gar nicht. Da kannst du auf die 2.-3. Generation warten bis da was passiert."
73,0,"Es ist ja wohl ein Unterschied, ob ein paar Dunkelhäutige verscheucht werden oder ein paar Deutsche niedergestochen und einer seinen schweren Verletzungen erliegt !!!  Von den unzähligen Messerstichen und der migrativen Gewaltorgie, an der noch mehr geflohene Täter beteiligt gewesen sein sollen, kein einziges Wort !!! Das müssen wir wohl alles stillschweigend ertragen !!!"
74,0,"aranoia sind unbegründete Ängste, wenn in Frankreich Polizisten verbrannt werden unter Jubelrufen von Gruppen von jungen Leuten fast gelyncht werden und jegliche Oberhand des Staats in solchen Situationen fehlt, die Ordnungshüter zuhause angegriffen werden, gestalkt und teilweise ermordet, dann ist dies eine begründete Angst, weil sie die Entwicklung zu einer wurzellosen Jugend die sich auf ei"
75,0,"In diesem Niveau auf obigen Bild fühlt sich auch die Antifa wohl,darum treten die für Verwahrlosung und Alternatives Wohnen ein was dann so aussieht,Mietfrei, Steuerfrei, Abgabenfrei bezahlt alles der ihnen verhasste Staat"
76,1,"Es scheint die Nähe des Messers zum Hals der Ungläubigen zu sein, daß die muslimischen Messermänner eine Neigung zum Friseurberuf haben!"
77,1,"Unter den Witschaftsbossen scheint es leider auch nicht viele helle Köpfe zu geben, denn sonst"
78,1,"Nebenbei sind die ""Zentralen für politische Bildung"" prima Endlager (""Versorgungsposten"") für Parteigänger auf Kosten des Steuerzahlers. Je früher die verschwinden, desdo besser."
79,0,Diese Leute sind doch gehirntod....
80,0,"Merkel geht unbeirrt den Weg des Global Compact for Migration weiter, also die massenhafte Umsiedlung von Menschen vorwiegend aus Afrika/Nordafrika nach Europa. Als Asylgrund gelten in Kürze neben „Klima“ auch Bürgerkrieg und Armut. Es ist also bewusst gewollt, ein neues Proletariat in Europa aufzubauen und Merkel verfolgt diesen Plan aus tiefster sozialistischer Seele. Wie immer wird das Vo"
81,0,Und lasst diese Dreistigkeit die Einwanderer von Heute mit den Vertriebenen aus den ehemaligen Ostgebieten zu vergleichen. Das ist eine Frechheit.
82,0,An deinen Worten. Woran denn sonst? Dein jungfräulicher Account gibt doch nicht mehr her. Du hast einfach überhaupt kein Vertrauen in Deutschland.
83,0,"Auch für Nazis wie dich gibt es Hilfe. https://www.exit-deutschland.de/ Schreib dich nicht ab, lern denken."
84,0,"Aber Ideologen von Politik, Medien und Gutmenschen wollen ein weiter so!"
85,1,"Die eigentliche Aussage sollte doch wohl an die jungen Leute gerichtet sein, die sich mutwillig in diese Abenteuer begeben und ihre Eltern finanziell ruinieren"
86,1,"Das ist BRD-Politik aus der ""Irren-Anstalt für ganz harte Fälle""  Die Sozis wollen die Steuern erhöhen für die ""Rente"", - nachdem die SPD-Genossen Billionen !!! an Euros in den letzten Jahren in die ganze Welt verschenkt haben.  Und die CDU-Genossen toppen das mit alten National-Sozialistischen -Plänen der ""NSDAP""."
87,0,"ohnehin, nicht nur bei ihr, eine deutsche Krankheit, den halben Tag zu analysieren. Und das war es dann. Lösung? Nein, da wird weiter analysiert, aber es wird NICHTS GETAN."
88,0,"Die Diktatur der Sanftmütigen ————————————– Wer vor Merkels Ankunft, links neben der CDU stand, steht Heute, ohne sich bewegt zu haben, auf Augenhöhe mit den “Nazis“.  Es ist wissenschaftlich gesehen ein Ding der Unmöglichkeit, jedoch hat jede Veränderung eine Ursache. Die Ursache kann nur Bedeuten das Bürger, die sich politisch nicht bewegt haben, von einer fasc"
89,0,"Wo sind denn nun die ach so ""humanitären"" Teddywerfer? Da hört man nichts, wenn einer ihrer Goldstücke mal wieder über die Strenge geschlagen hat."
90,0,"Dies kann man als Anschlagsdrohung der extremen ""Linke"" interpretieren"
91,0,"Das Wahlplakat, er trat als „unabhängiger Kandidat“ an, glich dem der verbrecherischen „Grünen“."
92,0,Das sind alles der AM sofort Rentner Die werden sich weder anpassen noch werden die je arbeiten
93,1,"In der SPD sind ja auch nur schlecht ausgebildete FACHKRÄFTE. Welche SPDler könnten denn Schmidt, Brandt,Wehner oder Bahr nur das Wasser reichen? Nahles, Schulz oder Hegner? Ich lach mich schlapp"
94,0,Die Meisten der 16Millionen ehemaliger Kommunisten haben sich seit 1990 weitgehend integriert. Nur bei ein paar Sachsen scheint das aufgrund der Sprachbarriere nicht zu funktionieren.
95,0,"Es gibt zwar Gesetze (eigentlich nur Verordnungen), aber daran halten müssen sich nur die BRD-Bewohner. Politiker und Migranten haben Narrenfreiheit."
96,1,Das CDU-SPD-Regime in Dresden verschwindet wie ein Furz im Wind.
97,0,"Bei Ihnen ist eben alles braun, was in irgendeiner Weise die aktuelle Migrationspolitik in Deutschland kritisiert. Das ist allerdings dann auch wieder ziemlich schwarz-weiß um nicht zu sagen, zutiefst dogmatisch."
98,1,"..., wieder Publizistik aus der rot-grünen Schlammgrube. Da wird die ideologische Heckenschere gewetzt und die Argumente der Anderen erst einmal sauber in die rechte Ecke verortet. Der Faustschlag gegen die Afd darf natürlich nicht fehlen. Auch den NS-Bezug hat er nicht vergessen, wie auch die Seebrücke (Thema kriminelle ""Seenotretter"") und die böse rechte österreichische Regierung. Der ganze"
99,0,dass sie uns behinderte westidioten retten Auf dich könnte das zutreffen. Im übrigen sprich bitte NUR für dich selbst und nicht für andere.
100,0,"Das Problem besteht darin, dass nur wenige Bürger sich in Internet-Blogs (zusätzlich) informieren, während die kollektive Gutmenschen-Schafherde sich auf die ö.-r. Propagandasender beschränkt.  Es wird im Volk also zu einer geteilten Meinung und Wahrheit kommen, die bei deutschen Rechthaberei-Bessermenschen sehr rabiat ausarten kann. Für viele sind die Befehle ihrer Obrigkeiten nämlich was"
101,0,"Könnte das öffentlich-rechtliche Fernsehen nicht ein wenig phantasievoller zu Werke gehen, also statt immer den „alten, dicken, xenophoben, weissen, tumben deutschen Mann“ in den Mittelpunkt zu stellen, eine positive, optimistische, Sendung produzieren, in deren Mittelpunkt die Schutzsuchenden stehen, die eifrig lernen, studieren, kräftig anpacken, um ihre neue Heimat noch schöner, erfolgr"
102,0,"Die Medien, die Grünen und die Linken sind die waren Unruhestifter in unserer Republik. Sie greifen jeden an der es wagt die Warheit zusagen."
103,1,"Also, einem Richter der die Sicherheit der deutschen Bevölkerung am Arsch vorbei geht und einen Terroristen darüber stellt, sollte aus dem Amt gejagt werden. Für mich ist das nicht mehr vermittelbar was bei den Gerichten ab geht."
104,0,"Das 1,8 Millionen sogenannte Flüchtlinge von Hartz IV leben wird natürlich nicht erwähnt. Seit Ende 2014 sind mehr als 2,1 Millionen sogenannte Flüchtlinge nach Deutschland gekommen und mehr als 1,8 Millionen sind arbeitslos aber das erwähnt die ""Lückenpresse"" natürlich nicht"
105,0,Die Massenflutung Deutschlands mit Sozialschmarotzern (die tatsächlich den sozialschwachen Deutschen ALLES wegnehmen) darf nicht ins Stocken geraten.
106,1,"Ist doch so oder so nur wieder eine Beruhigungspille, für das gutgläubige deutsche Volk"
107,0,"Stimmt schon, aber nur mit vernünftigen, sachlich vorgebrachten Argumenten kann man dem Menschen bei kommen und ich denke, jeder kann schreiben wie er will, was er schreibt, das ist jedoch eine ganz andere Sache und bei Summer sehe ich da große Informationslücken. Sie, oder er, hat nicht den Arsch in der Hose sich mal richtig schlau zu machen und vertraut lieber der Hirnwäsche der Altparteien"
108,0,nur die allerdümmsten Kälber wählen ihre neoliberalen Schlächter selber.
109,0,"Daniel wäre noch am Leben, wenn es das etablierte Politikerpack von cdulinkespdgrünen nicht geben würde, wenn es das Merkel-Kalifat nicht geben würde, wenn es die beiden Islam freundlichen und den Heiland verratenden Großsekten nicht geben würde, wenn es die Lügenmedien nicht geben würde…"
110,0,"Fein die einstudierten Parolen und Schlagworte heruntergeleiert, gewürzt mit bildungsfernen Haßtiraden und schwups ist der Wortschatz auch schon ausgereizt. Nun wird es aber Zeit für`s Bettchen, der Sandmann war schon da"
111,1,Ein bischen mehr Respekt gegenüber einem deutschen Innenminister darf man von der Journalie erwarten dürfen. Die Qualität von Journalisten scheint vollends dahin zu sein.
112,0,"Neue Afrikaner, da freut sich unsere Migrantenkanzlerin ;-)"
113,0,"Und wie gut so eine Koalition mit Roten funktioniert, sieht man momentan in Berlin."
114,0,Madame begibt sich unter das handverlesene Volk und die Hofpresse applaudiert begeistert.
115,0,"Wie sagte Merkel nach ihrer Wiederwahl - sie habe verstanden? Einfach lächerlich, es wird weiter debattiert, verzögert und nichts substanzielles zur Sicherung des deutschen Staates und seiner Sozialsysteme und des gesellschaftlichen Zusammenhaltes unternommen. Die Untätigkeit der Bundesregierung für das eigene Land und deren Bevölkerung ist unerträglich!"
116,0,"Was sagt der Bürgermeister zur Politik der GroKo, bei der sich zuletzt die SPD so sehr für den Nachzug von sogenannten Familienangehörigen eingesetzt hat. Oder hat der OB der Frau Özeguz beim Suchen der deutschen Leitkultur unterstützt ?  So sehr im dem OB Recht gebe, dass schon rumänische Zigeuner ein Problem sind, so sehr denke ich, dass er trotz der ganzen Probleme, die er jeden Tag ganz"
117,1,"Wertvoller also Gold ist das, was die Flüchtlinge uns bringen!  Hier sehen wir es mal wieder und nein, es sind nicht nur Gewalttaten – es sind auch ihre Verwandten, die sie in unzähliger Anzahl nachholen …. und die uns kosten und kosten und kosten  Was sie aber noch mitbringen und was kaum sichtbar ist, sind winzige Mikroorganismen oder Parasiten, die zu heftigsten und tödlichen Erkrankunge"
118,0,Ich finde Herrn Seehofer werden von Sprachpolizisten und Moralisten die gefließentlich darüber hinwegsehen die Rechnung die ihre Moral verursacht selbst zu bezahlen sowie von höchster Stelle aus dem Kanzlermt Knüppel zwischen die Beine geworfen. Das gefällt MIR nicht. Es war die Kanzlerin die in einem TV-Interview vor Bekanntmachung des Seehoferschen Masterplans einen Punkt herauszog und ihn
119,1,"Unser Wohlstand, den wir auf ihre Kosten generiert haben, zwingt sie geradezu in die Kriminalität! Es braucht jetzt Sozialprogramme um eben diese abgetrifteten Geflüchteten Menschen zurück in ein geordnetes Leben zu begleiten!“ Also raus aus dem kriminellen Supf mit den ganzen tausenden von Euros und rein in eine 40-Stundenwoche für 8,50 Euro Stundenlohn."
120,0,München ist vollgestopft mit linksgrünen Realttätsverweigerern
121,1,"wenn ich über das krankhafte, bürgerfeindliche Verhalten unserer Politiker nachdenke, die Folgen in der Politik und unseres Sozialsystems, die Abstauber bei Asylverfahren und die vielen kranken \""Gutmenschen\"" und plötzlich (weil ja der eigene Job bedroht ist) wollen Politiker sich bürgernah verhalten? Die Summe der schwachsinnigen Fehlentscheidungen und die Folgen sind doch schon jetzt fast u"
122,1,"Ich sehe  schon förmlich den Araberclan Nachwuchs vor mir wie er sozialen Dienst, Hand in Hand mit dem grünen Nachwuchs, an alten Deutschen verrichtet."
123,0,"Mal eine Frage: Ist das Bild von AM wirklich echt? Keine Fotomontage? Für mich ist das Satans Fratze in Menschengestalt!  Der dritte Antichrist nach Napoleon und Stalin ist schon lange auf der Erde (laut Offenbarung und auch etlicher Seher!)  … und ich dachte immer, es wäre Soros…"
124,0,""" : Die Homepage:\xa0 Monumentenstraße 13\xa0 10829 Berlin Mit ""!"" können Sie das Geld auch ins Klo spülen. Dann macht sich damit Jemand einen schönen Tag auf Verwaltungs- und Bewirtungskosten"
125,0,"Das gefällt der Hasswarze nicht!! Die Frau ist so voller Hass und Argwohn, dass er sich schon in Hautwucherungen bemerkbar macht! Die hat bestimmt überall Geschwüre und ist verwarzt, durch und durch!!!"
126,0,"Wenn man den grünen, roten und neu-roten Irren auch nur einen Funken Verstand zutrauen könnte, müßte man das jetzt für ein Ablenkungsmanöver halten, mit dem das Stimmvieh dazu gebracht werden soll, sich mit anderen als den üblichen KO-Themen für diese Regierung zu beschäftigen."
127,0,"Merkel-Gast bereichert Deutschland so schön bunt, vielfältig und weltoffen:  Messerattacke auf seine Frau: Afghane wegen versuchten Mordes vor Gericht"
128,0,"Die Crux dabei: er hätte das potentielle Personal ja schon längst im Land und müsdte nicht Geld, Zeit und Ressourcen in Auslandswerbung stecken. Aber die Menschen, die scho n da sind werden teils aus der Ausbildung heraus abgeschoben... Ein richtiges Konzept sieht anders aus"
129,0,"Gleichzeitig weist der Fall auf das Paradox hin, dass Rechtsnationale (AfDler, Pegida, NPDler etc.) eigentlich Ausländer > Migranten hassen, aber Russen und Russlanddeutsche nicht nur davon ausgenommen sind, sondern immer als Paradebeispiel für mustergültige Integration in Deutschland und Gesetzestreue angeführt werden. Die überdurchschnittliche Kriminalität von orientalischen Migranten wird"
130,0,Du klugscheißerst und machst es selber noch falsch. Bravo! Das zeugt von dir!
131,1,Der deutsche Michel wehrt sich erst wenn es direkt an seinem Geldbeutel geht..Bei der nächsten Finanzkriese gibt es hier Mord und Totschlag...aber wir wollen es doch so
132,1,"Der Service ist schon voll im Gange und die Spanier brauchen kaum nachhelfen, das Pack zieht es von ganz alleine wie einen Magnet nach Germanistan (noch Schlaraffia), bis hier alles restlos verbraten ist und im Arsch, dann geht es weiter, wohin kann ich auch noch nicht sagen, aber Schaben überleben auch jede Katastrophe und vegetieren immer weiter."
133,0,"Deutschland hat ja noch nicht genug Flüchtlinge und diejenigen die in den anderen Ländern aufgenommen werden, sind spätestens in 4 Wochen auch in DE."
